"Jahr";"A";"B";"2. Jahr";"3. Jahr";"4. Jahr";"5. Jahr"
2015;"A.";"Ergebnisprognose des zweiten bis fünften Geschäftsjahres";;;;
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";43674;44423;44763;44826
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";422;322;241;231
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";25367;29915;33370;30227
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";23130;24295;26168;27742
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";2238;5620;7203;2485
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";635;732;835;945
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";6;6;6;6
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";11921;13135;15707;15930
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";52972;56541;59301;59207
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";965;1444;164;0
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";1804;1776;1746;1746
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";817;829;829;829
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";817;829;829;829
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";0;0;0;0
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";0;0;0;0
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";1179;1153;1141;1144
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";446;520;327;-2621
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";-297;-320;-267;-242
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";149;200;60;-2863
2015;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";0;0;0;0
2015;"B.";"Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";;;;
2015;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";35536;37381;40941;41398
2015;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung";14110;15096;14939;14602
2015;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";0;0;0;0
2015;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.4._davon: stille Nettoreserven";0;0;0;0
2015;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.5._Mindestbetrag des Garantiefonds";0;0;0;0
2015;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.6._Solvabilitätsspanne";24100;26285;28575;30862
2015;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";;;;
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des zweiten bis fünften Geschäftsjahres";18532;7125;1023;0
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";2487;0;137;0
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.3._davon: in Immobilien";0;0;0;0
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.4._davon: in Anteilen an verbundenen Unternehmen und Beteiligungen";0;0;0;0
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.5._Unsaldierte stille Lasten zum Ende des zweiten bis fünften Geschäftsjahres";6258;19920;28590;27066
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.6_davon: in zum Nennwert bilanzierten Kapitalanlagen";840;2673;3837;3632
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.7._Neu- und Wiederanlage (ohne FLV) im zweiten bis fünften Geschäftsjahr";147422;60076;58719;69028
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.8._Buchwert der Kapitalanlagen zum Ende des zweiten bis fünften Geschäftsjahres (Formblatt 1, Aktivseite, C., RechVersV)";633700;685326;737045;785073
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.9._Bewertungsreserven in festverzinslichen Anlagen und Zinsabsicherungsgeschäften gem. § 56a Abs. 3 VAG";12274;-12795;-27567;-27066
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.10._Sicherungsbedarf gem. § 56a Abs. 4 VAG";84267;40167;9058;0
2015;"D.";"sonstige Angaben zum zweiten bis fünften Geschäftsjahr";;;;
